Company CCDID,Individual CCDID
300006941715,300006941931
300004334714,300004440739
300006951689,300006951693
300007634299,300007634384
145005295810,245007104296
144000391539,244015492763
300002821100,300003352315
144000024596,244011327701
145003509399,245004881734
300005693746,
300007425771,
300001593801,
300007422292,
